modo_send,tempo_em_segundos,speedup,eficiencia
1,488.121,"1,386598815","0,3466497037"
2,472.150,"1,433502065","0,3583755163"
3,474.950,"1,425051058","0,3562627645"
4,473.966,"1,428009604","0,357002401"
5,460.119,"1,47098468","0,36774617"
,,,
tempo_1_proc,,,
676.828,,,
