modo_send,modo_recv,tempo_em_segundos,speedup,eficiencia
1,2,384.107,"1,76208192","0,44052048"
2,2,396.906,"1,705260188","0,4263150469"
4,2,404.546,"1,673055722","0,4182639304"
5,2,435.806,"1,553048834","0,3882622084"
,,,,
,,,,
676.828,,,,
